Start     End       DonorLineage    RecipientStrain  log(BF)    StrainName
923834    924852    1               401              1.4        SRR11004282
69413     69774     3               402              0.2        SRR11004283
233894    234354    3               402              17.4       SRR11004283
309655    309861    3               402              2.0        SRR11004283
390089    390160    3               402              3.3        SRR11004283
486802    487271    2               402              4.1        SRR11004283
487272    487308    3               402              0.6        SRR11004283
487309    487648    2               402              11.4       SRR11004283
62956     64121     1               403              2.5        SRR11004284
32300     33855     2               404              0.7        SRR11004285
195744    196091    2               404              0.4        SRR11004285
196092    196251    3               404              3.6        SRR11004285
217948    218977    2               404              0.2        SRR11004285
226168    226253    2               404              2.5        SRR11004285
329573    330367    2               404              1.7        SRR11004285
486802    487608    2               404              20.1       SRR11004285
518726    519368    2               404              0.0        SRR11004285
694373    694919    2               404              14.5       SRR11004285
707950    708336    2               404              1.2        SRR11004285
937389    938087    2               404              4.4        SRR11004285
30519     31765     2               408              4.5        SRR11004289
486802    487271    2               408              4.1        SRR11004289
487272    487308    3               408              0.6        SRR11004289
487309    487608    2               408              12.9       SRR11004289
694373    694847    2               408              9.1        SRR11004289
710060    727523    2               408              6.2        SRR11004289
905353    906647    2               408              15.9       SRR11004289
918040    920511    2               408              13.5       SRR11004289
355041    355151    3               409              5.9        SRR11004290
484513    485352    1               410              0.1        SRR11004291
923834    924852    1               410              1.4        SRR11004291
32300     33855     2               411              0.7        SRR11004292
217948    218977    2               411              0.2        SRR11004292
226168    226253    2               411              2.5        SRR11004292
310478    311283    2               411              1.5        SRR11004292
486802    487608    2               411              20.0       SRR11004292
645565    647038    2               411              24.7       SRR11004292
694373    694919    2               411              14.4       SRR11004292
707950    708336    2               411              1.1        SRR11004292
937389    938087    2               411              4.3        SRR11004292
62956     64121     1               412              2.5        SRR11004293
62956     64121     1               413              2.5        SRR11004294
905353    906647    2               414              16.1       SRR11004295
30519     31765     2               415              4.4        SRR11004296
837234    837336    3               415              1.6        SRR11004296
886883    887487    2               415              1.7        SRR11004296
932827    933159    2               415              3.9        SRR11004296
484513    485352    1               417              0.1        SRR11004298
923834    924852    1               417              1.4        SRR11004298
431068    431114    1               418              15.4       SRR11004299
431115    431143    3               418              6.0        SRR11004299
750142    750699    1               418              0.1        SRR11004299
62956     64121     1               420              2.5        SRR11004301
103069    104448    2               421              2.1        SRR11004302
390275    390541    2               421              10.0       SRR11004302
486802    487271    2               421              4.2        SRR11004302
487272    487308    3               421              0.6        SRR11004302
487309    487608    2               421              13.0       SRR11004302
827463    828040    2               421              3.7        SRR11004302
905265    906647    2               421              20.6       SRR11004302
31397     31765     1               422              0.0        SRR11004303
101967    102298    3               422              10.1       SRR11004303
225180    225559    1               422              13.5       SRR11004303
413768    413863    3               422              0.4        SRR11004303
478429    478711    3               422              3.5        SRR11004303
560152    561070    3               422              9.8        SRR11004303
663172    663210    3               422              1.9        SRR11004303
62956     64121     1               423              2.5        SRR11004304
484513    485352    1               424              0.1        SRR11004305
923834    924852    1               424              1.4        SRR11004305
6506      6539      3               425              11.4       SRR11004306
484513    485352    1               425              0.1        SRR11004306
923834    924852    1               425              1.4        SRR11004306
30519     31765     2               426              4.4        SRR11004307
486802    487271    2               426              4.1        SRR11004307
487272    487308    3               426              0.6        SRR11004307
487309    487608    2               426              12.9       SRR11004307
694373    694847    2               426              9.0        SRR11004307
918198    918698    2               426              2.0        SRR11004307
484513    485352    1               428              0.2        SRR11004309
923834    924852    1               428              1.4        SRR11004309
30519     31765     2               429              4.4        SRR11004310
837234    837336    3               429              1.6        SRR11004310
886883    887487    2               429              1.7        SRR11004310
932827    933159    2               429              3.8        SRR11004310
484513    485352    1               430              0.1        SRR11004311
923834    924852    1               430              1.4        SRR11004311
484513    485352    1               431              0.1        SRR11004312
923834    924852    1               431              1.4        SRR11004312
484513    485352    1               432              0.1        SRR11004313
923834    924852    1               432              1.4        SRR11004313
484513    485352    1               434              0.1        SRR11004315
923834    924852    1               434              1.4        SRR11004315
310448    311283    2               436              0.1        SRR11004317
387949    388339    2               436              4.2        SRR11004317
696687    697499    2               436              2.7        SRR11004317
484513    485352    1               437              0.1        SRR11004318
923834    924852    1               437              1.4        SRR11004318
32300     33855     2               438              0.7        SRR11004319
217948    218977    2               438              0.2        SRR11004319
226168    226253    2               438              2.5        SRR11004319
329609    330367    2               438              2.1        SRR11004319
486802    487608    2               438              20.0       SRR11004319
645565    647038    2               438              24.8       SRR11004319
694373    694919    2               438              14.4       SRR11004319
707950    708336    2               438              1.1        SRR11004319
937389    938087    2               438              4.4        SRR11004319
478429    478711    3               439              3.5        SRR11004320
484513    485352    1               439              0.2        SRR11004320
923834    924852    1               439              1.4        SRR11004320
225221    225366    1               440              7.6        SRR11004321
225367    225463    3               440              2.2        SRR11004321
225464    225544    1               440              3.2        SRR11004321
484513    485352    1               440              0.1        SRR11004321
484513    485352    1               442              0.1        SRR11004323
923834    924852    1               442              1.4        SRR11004323
484513    485352    1               444              0.1        SRR11004325
923834    924852    1               444              1.4        SRR11004325
484513    485352    1               445              0.1        SRR11004326
923834    924852    1               445              1.4        SRR11004326
484513    485352    1               446              0.1        SRR11004327
923834    924852    1               446              1.4        SRR11004327
484513    485352    1               448              0.1        SRR11004329
923834    924852    1               448              1.4        SRR11004329
484513    485352    1               449              0.1        SRR11004330
730305    730407    3               449              1.9        SRR11004330
923834    924852    1               449              1.4        SRR11004330
225221    225350    1               451              4.4        SRR11004332
225469    225544    1               451              3.6        SRR11004332
484513    485352    1               451              0.1        SRR11004332
30519     31765     2               452              4.5        SRR11004333
237808    238162    2               452              5.1        SRR11004333
486802    487271    2               452              4.1        SRR11004333
487272    487308    3               452              0.6        SRR11004333
487309    487608    2               452              12.9       SRR11004333
713094    727523    2               452              5.3        SRR11004333
918040    920511    2               452              13.5       SRR11004333
284076    284834    2               454              6.2        SRR11004335
427645    429098    2               454              4.4        SRR11004335
225207    226294    2               455              10.7       SRR11004336
434764    435232    2               455              2.6        SRR11004336
694819    695034    2               455              3.6        SRR11004336
905265    906647    2               455              20.3       SRR11004336
937389    937731    2               455              5.4        SRR11004336
768481    768693    3               456              5.7        SRR11004337
62956     64121     1               457              2.5        SRR11004338
486802    487238    2               458              6.5        SRR11004339
487239    487351    3               458              3.4        SRR11004339
487352    487608    2               458              6.1        SRR11004339
486802    487271    2               460              4.1        SRR11004341
487272    487308    3               460              0.6        SRR11004341
487309    487608    2               460              13.0       SRR11004341
291008    291370    2               461              1.6        SRR11004342
486802    487271    2               461              4.1        SRR11004342
487272    487308    3               461              0.6        SRR11004342
487309    487608    2               461              12.9       SRR11004342
934336    934388    3               461              4.7        SRR11004342
101906    102298    3               462              12.9       SRR11004343
905879    906199    2               463              6.1        SRR11004344
478429    478711    3               465              3.5        SRR11004347
8540      15676     2               469              3.7        SRR11004351
30526     31765     2               469              4.4        SRR11004351
291008    292217    2               469              7.2        SRR11004351
309624    316723    2               469              0.5        SRR11004351
886672    887605    2               469              0.0        SRR11004351
905265    906647    2               469              19.9       SRR11004351
912319    915361    2               469              0.9        SRR11004351
613870    614275    1               470              3.0        SRR11004352
69457     69774     3               471              1.0        SRR11004353
149745    149924    2               471              14.3       SRR11004353
233894    234354    3               471              26.1       SRR11004353
486802    487271    2               471              4.1        SRR11004353
487272    487308    3               471              0.6        SRR11004353
487309    487608    2               471              12.9       SRR11004353
905798    906139    2               471              9.3        SRR11004353
62956     64121     1               472              2.5        SRR11004354
582572    582689    1               472              1.2        SRR11004354
645565    647038    1               472              4.8        SRR11004354
750142    750699    1               472              0.0        SRR11004354
30519     31765     2               473              4.5        SRR11004355
237781    238162    2               473              4.4        SRR11004355
486802    487271    2               473              4.1        SRR11004355
487272    487308    3               473              0.6        SRR11004355
487309    487608    2               473              12.9       SRR11004355
713094    727523    2               473              5.4        SRR11004355
918040    920511    2               473              13.5       SRR11004355
696687    697499    2               474              2.8        SRR11004356
905879    906199    2               474              6.1        SRR11004356
30519     31765     2               475              4.4        SRR11004357
486802    487271    2               475              4.1        SRR11004357
487272    487308    3               475              0.6        SRR11004357
487309    487608    2               475              12.9       SRR11004357
694373    694847    2               475              9.0        SRR11004357
918198    918698    2               475              2.0        SRR11004357
101967    102298    3               476              10.1       SRR11004358
478429    478711    3               476              3.5        SRR11004358
225221    225350    1               477              4.4        SRR11004359
225469    225544    1               477              3.6        SRR11004359
484513    485352    1               477              0.1        SRR11004359
711101    711416    3               478              2.6        SRR11004360
6506      6539      3               479              11.4       SRR11004361
484513    485352    1               479              0.1        SRR11004361
923834    924852    1               479              1.4        SRR11004361
30519     31765     2               481              4.5        SRR11004363
237781    238162    2               481              4.4        SRR11004363
486802    487271    2               481              4.1        SRR11004363
487272    487308    3               481              0.6        SRR11004363
487309    487608    2               481              12.9       SRR11004363
713094    727523    2               481              5.4        SRR11004363
918040    920511    2               481              13.5       SRR11004363
486802    487271    2               482              4.1        SRR11004364
487272    487308    3               482              0.6        SRR11004364
487309    487608    2               482              12.9       SRR11004364
867614    867801    2               482              0.7        SRR11004364
225207    225366    1               483              6.8        SRR11004365
225367    225463    3               483              2.2        SRR11004365
225464    225544    1               483              3.2        SRR11004365
484513    485352    1               483              0.1        SRR11004365
613870    614275    1               483              3.0        SRR11004365
30519     31765     2               484              4.5        SRR11004366
237808    238162    2               484              5.1        SRR11004366
486802    487271    2               484              4.1        SRR11004366
487272    487308    3               484              0.6        SRR11004366
487309    487608    2               484              12.9       SRR11004366
713094    727523    2               484              5.4        SRR11004366
918040    920511    2               484              13.5       SRR11004366
484513    485352    1               485              0.1        SRR11004367
923834    924852    1               485              1.4        SRR11004367
225310    225318    3               487              0.8        SRR11004369
225319    225899    2               487              2.1        SRR11004369
486802    487271    2               487              4.1        SRR11004369
487272    487308    3               487              0.6        SRR11004369
487309    487608    2               487              12.9       SRR11004369
694373    694847    2               487              9.0        SRR11004369
696687    697499    2               488              2.8        SRR11004370
905879    906199    2               488              6.1        SRR11004370
30519     31765     2               489              4.5        SRR11004371
486802    487271    2               489              4.1        SRR11004371
487272    487308    3               489              0.6        SRR11004371
487309    487608    2               489              13.0       SRR11004371
694373    694847    2               489              9.1        SRR11004371
484513    485352    1               490              0.1        SRR11004372
923834    924852    1               490              1.4        SRR11004372
613870    614275    1               491              3.0        SRR11004373
679767    680110    3               492              2.0        SRR11004374
486802    487238    2               493              4.8        SRR11004375
487239    487351    3               493              3.4        SRR11004375
487352    487608    2               493              6.1        SRR11004375
478429    478711    3               495              3.5        SRR11004377
30519     31765     2               496              4.6        SRR11004378
486802    487271    2               496              4.2        SRR11004378
487272    487308    3               496              0.6        SRR11004378
487309    487608    2               496              13.0       SRR11004378
694373    694847    2               496              9.1        SRR11004378
824698    827041    2               496              0.1        SRR11004378
30519     31765     2               498              4.5        SRR11004380
486802    487271    2               498              4.1        SRR11004380
487272    487308    3               498              0.6        SRR11004380
487309    487608    2               498              13.0       SRR11004380
694373    694847    2               498              9.1        SRR11004380
62956     64121     1               500              2.5        SRR11004382
484513    485352    1               503              0.1        SRR11004385
923834    924852    1               503              1.4        SRR11004385
923834    924852    1               505              1.4        SRR11004387
548879    548965    2               507              0.2        SRR11004389
905879    906199    2               507              6.0        SRR11004389
484513    485352    1               509              0.1        SRR11004391
923834    924852    1               509              1.4        SRR11004391
478429    478711    3               510              3.5        SRR11004392
484513    485352    1               513              0.1        SRR11004395
923834    924852    1               513              1.4        SRR11004395
484513    485352    1               515              0.1        SRR11004397
923834    924852    1               515              1.4        SRR11004397
478429    478711    3               516              3.5        SRR11004398
16480     17314     2               518              2.3        SRR11004400
32410     33855     2               518              0.3        SRR11004400
147363    150509    2               518              18.2       SRR11004400
225207    225898    2               518              1.7        SRR11004400
284076    284834    2               518              6.1        SRR11004400
285615    292217    2               518              2.5        SRR11004400
309282    311283    2               518              2.2        SRR11004400
387949    388339    2               518              4.1        SRR11004400
406787    407134    2               518              1.8        SRR11004400
426496    429098    2               518              3.0        SRR11004400
486802    488770    2               518              0.8        SRR11004400
519192    519838    2               518              6.6        SRR11004400
573698    578635    2               518              4.7        SRR11004400
707950    708336    2               518              1.1        SRR11004400
764595    765983    2               518              0.0        SRR11004400
932726    933057    2               518              3.9        SRR11004400
923834    924852    1               519              1.4        SRR11004401
310448    311283    2               520              0.1        SRR11004402
387949    388339    2               520              4.2        SRR11004402
696687    697499    2               520              2.7        SRR11004402
62956     64121     1               523              2.5        SRR11004405
768481    768693    3               525              5.7        SRR11004407
825824    827041    2               526              0.4        SRR11004408
837234    837336    3               526              1.6        SRR11004408
886883    887487    2               526              1.7        SRR11004408
932827    933057    2               526              5.0        SRR11004408
62956     64121     1               528              2.5        SRR11004410
62956     64121     1               529              2.5        SRR11004411
284076    284834    2               532              6.2        SRR11004414
427645    429098    2               532              4.4        SRR11004414
30519     31765     2               536              4.5        SRR11004418
486802    487271    2               536              4.1        SRR11004418
487272    487308    3               536              0.6        SRR11004418
487309    487608    2               536              13.0       SRR11004418
561834    561907    3               536              0.8        SRR11004418
694373    694847    2               536              9.1        SRR11004418
486802    487238    2               537              4.8        SRR11004419
487239    487351    3               537              3.4        SRR11004419
487352    487608    2               537              6.1        SRR11004419
484513    485352    1               538              0.1        SRR11004420
923834    924852    1               538              1.4        SRR11004420
613870    614275    1               541              3.0        SRR11004423
750142    750699    1               541              0.1        SRR11004423
711101    711416    3               543              2.6        SRR11004425
62956     64121     1               544              2.5        SRR11004426
484513    485352    1               545              0.1        SRR11004427
923834    924852    1               545              1.4        SRR11004427
484513    485352    1               546              0.1        SRR11004428
923834    924852    1               546              1.4        SRR11004428
548879    548965    2               547              0.2        SRR11004429
905879    906199    2               547              6.0        SRR11004429
30519     31765     2               548              4.5        SRR11004430
486802    487271    2               548              4.1        SRR11004430
487272    487308    3               548              0.6        SRR11004430
487309    487608    2               548              13.0       SRR11004430
694373    694847    2               548              9.1        SRR11004430
486802    487271    2               549              4.1        SRR11004431
487272    487308    3               549              0.6        SRR11004431
487309    487608    2               549              12.9       SRR11004431
486802    487238    2               551              4.8        SRR11004433
487239    487351    3               551              3.4        SRR11004433
487352    487608    2               551              6.2        SRR11004433
225207    225350    1               554              3.7        SRR11004436
225469    225544    1               554              3.6        SRR11004436
484513    485352    1               554              0.1        SRR11004436
613870    614275    1               554              3.0        SRR11004436
750142    750699    1               554              0.1        SRR11004436
13752     15676     2               555              8.0        SRR11004437
711101    711416    3               557              2.6        SRR11004439
149745    149924    2               558              14.4       SRR11004440
486802    487271    2               558              4.2        SRR11004440
487272    487308    3               558              0.6        SRR11004440
487309    487608    2               558              13.1       SRR11004440
694373    694847    2               558              9.2        SRR11004440
711101    711416    3               560              2.6        SRR11004442
103069    104448    2               563              2.1        SRR11004445
390275    390541    2               563              10.0       SRR11004445
486802    487271    2               563              4.2        SRR11004445
487272    487308    3               563              0.6        SRR11004445
487309    487608    2               563              13.0       SRR11004445
827463    828040    2               563              3.6        SRR11004445
905265    906647    2               563              20.5       SRR11004445
346739    347106    3               564              0.1        SRR11004446
696687    697499    2               564              2.7        SRR11004446
696687    697499    2               565              2.8        SRR11004447
905879    906199    2               565              6.1        SRR11004447
62956     64121     1               566              2.5        SRR11004448
486802    487238    2               567              4.8        SRR11004449
487239    487351    3               567              3.4        SRR11004449
487352    487608    2               567              6.1        SRR11004449
30519     31765     2               568              4.5        SRR11004450
486802    487271    2               568              4.1        SRR11004450
487272    487308    3               568              0.6        SRR11004450
487309    487608    2               568              13.0       SRR11004450
694373    694847    2               568              9.1        SRR11004450
284076    284834    2               571              6.2        SRR11004453
427645    429098    2               571              4.4        SRR11004453
484513    485352    1               572              0.1        SRR11004454
923837    924852    1               572              1.4        SRR11004454
30519     31765     2               573              4.5        SRR11004455
237808    238162    2               573              5.1        SRR11004455
486802    487271    2               573              4.1        SRR11004455
487272    487308    3               573              0.6        SRR11004455
487309    487608    2               573              12.9       SRR11004455
713094    727523    2               573              5.4        SRR11004455
918040    920511    2               573              13.5       SRR11004455
30519     31765     2               574              4.5        SRR11004456
486802    487271    2               574              4.1        SRR11004456
487272    487308    3               574              0.6        SRR11004456
487309    487608    2               574              13.0       SRR11004456
694373    694847    2               574              9.1        SRR11004456
486802    487238    2               575              4.8        SRR11004457
487239    487351    3               575              3.4        SRR11004457
487352    487608    2               575              6.1        SRR11004457
484513    485352    1               577              0.1        SRR11004459
923834    924852    1               577              1.4        SRR11004459
484513    485352    1               578              0.1        SRR11004460
923834    924852    1               578              1.4        SRR11004460
30519     31765     2               579              4.5        SRR11004461
486802    487271    2               579              4.1        SRR11004461
487272    487308    3               579              0.6        SRR11004461
487309    487608    2               579              13.0       SRR11004461
694373    694847    2               579              9.1        SRR11004461
548879    548965    2               580              0.2        SRR11004462
905879    906199    2               580              6.0        SRR11004462
32340     33855     2               586              0.4        SRR11004468
217948    218977    2               586              0.3        SRR11004468
226168    226253    2               586              2.5        SRR11004468
310478    311283    2               586              1.6        SRR11004468
329609    330367    2               586              2.2        SRR11004468
486802    487608    2               586              20.2       SRR11004468
518726    519368    2               586              0.0        SRR11004468
694373    694919    2               586              14.5       SRR11004468
707950    708336    2               586              1.2        SRR11004468
937389    938087    2               586              5.9        SRR11004468
346739    347106    3               587              0.1        SRR11004469
696687    697499    2               587              2.7        SRR11004469
484513    485352    1               589              0.1        SRR11004471
923834    924852    1               589              1.4        SRR11004471
484513    485352    1               590              0.1        SRR11004472
923834    924852    1               590              1.4        SRR11004472
62956     64121     1               591              2.5        SRR11004473
582572    582689    1               591              1.2        SRR11004473
645565    647038    1               591              4.7        SRR11004473
484513    485352    1               592              0.1        SRR11004474
923834    924852    1               592              1.4        SRR11004474
484513    485352    1               595              0.1        SRR11004477
923834    924826    1               595              1.2        SRR11004477
750142    750699    1               601              0.1        SRR11004483
905367    905661    3               601              3.2        SRR11004483
484513    485352    1               602              0.1        SRR11004484
923834    924826    1               602              1.2        SRR11004484
484513    485352    1               603              0.1        SRR11004485
484513    485352    1               604              0.1        SRR11004486
62956     64121     1               605              2.5        SRR11004487
361351    361476    3               605              0.9        SRR11004487
582572    582689    1               605              1.2        SRR11004487
645565    647038    1               605              4.8        SRR11004487
750142    750699    1               605              0.1        SRR11004487
768481    768693    3               608              5.7        SRR11004490
934336    934388    3               609              4.7        SRR11004491
484513    485352    1               611              0.1        SRR11004493
8540      15676     2               612              2.2        SRR11004494
123971    124023    3               612              4.4        SRR11004494
124024    124689    2               612              0.3        SRR11004494
149745    150726    2               612              18.9       SRR11004494
237834    238162    2               612              3.4        SRR11004494
277413    278001    2               612              1.3        SRR11004494
284076    284685    2               612              2.3        SRR11004494
343480    345196    2               612              2.2        SRR11004494
415532    415670    2               612              0.0        SRR11004494
427645    429118    2               612              3.0        SRR11004494
431088    431238    2               612              23.9       SRR11004494
465861    466444    2               612              0.2        SRR11004494
471735    473421    2               612              1.1        SRR11004494
579094    580785    2               612              2.1        SRR11004494
590836    591531    2               612              1.0        SRR11004494
713094    729267    2               612              4.6        SRR11004494
755887    756481    2               612              13.6       SRR11004494
899870    900516    2               612              3.0        SRR11004494
918040    919011    2               612              5.8        SRR11004494
919012    919035    3               612              1.7        SRR11004494
919036    920511    2               612              2.0        SRR11004494
932804    933092    2               612              2.7        SRR11004494
750142    750699    1               618              1.1        SRR11004502
225221    225350    1               623              4.4        SRR11004507
225469    225544    1               623              3.6        SRR11004507
484513    485352    1               623              0.1        SRR11004507
750142    750699    1               624              0.1        SRR11004508
905367    905661    3               624              3.1        SRR11004508
750142    750699    1               625              0.1        SRR11004509
62956     64121     1               636              2.5        SRR11004520
62956     64121     1               637              2.5        SRR11004521
582572    582689    1               637              1.2        SRR11004521
645565    647038    1               637              4.8        SRR11004521
750142    750699    1               637              0.1        SRR11004521
750142    750699    1               641              0.1        SRR11004525
69032     69956     1               642              0.8        SRR11004526
225151    225350    1               642              6.7        SRR11004526
225469    225544    1               642              3.5        SRR11004526
827419    828022    1               642              5.0        SRR11004526
905386    906579    1               642              5.8        SRR11004526
484513    485352    1               643              0.1        SRR11004527
923826    924826    1               643              1.3        SRR11004527
923826    924826    1               644              1.3        SRR11004528
225221    225350    1               645              4.4        SRR11004529
225469    225544    1               645              3.6        SRR11004529
484513    485352    1               645              0.1        SRR11004529
923826    924826    1               646              1.3        SRR11004530
30519     31765     2               647              4.4        SRR11004531
837234    837336    3               647              1.6        SRR11004531
837337    837874    2               647              1.4        SRR11004531
886883    887487    2               647              1.7        SRR11004531
932827    933159    2               647              3.9        SRR11004531
478429    478711    3               649              3.5        SRR11004533
923826    924826    1               649              1.3        SRR11004533
55224     55265     3               650              31.1       SRR11004534
750142    750699    1               652              0.1        SRR11004536
484513    485352    1               654              0.1        SRR11004538
613870    614275    1               654              3.0        SRR11004538
750142    750699    1               655              0.1        SRR11004539
487628    487765    3               656              2.3        SRR11004540
711101    711416    3               656              2.6        SRR11004540
716269    716642    3               656              1.3        SRR11004540
484513    485352    1               659              0.1        SRR11004543
478429    478711    3               664              3.5        SRR11004548
923826    924826    1               664              1.3        SRR11004548
225221    225350    1               666              4.4        SRR11004550
225469    225544    1               666              3.6        SRR11004550
484513    485352    1               666              0.1        SRR11004550
62956     64121     1               667              2.5        SRR11004551
582572    582689    1               667              1.2        SRR11004551
645565    647038    1               667              4.8        SRR11004551
750142    750699    1               667              0.0        SRR11004551
62956     64121     1               669              2.5        SRR11004553
582572    582689    1               669              1.2        SRR11004553
645565    647038    1               669              4.8        SRR11004553
750142    750699    1               669              0.0        SRR11004553
101967    102298    3               670              10.1       SRR11004554
478429    478711    3               670              3.5        SRR11004554
101967    102298    3               671              10.1       SRR11004555
478429    478711    3               671              3.5        SRR11004555
101967    102298    3               672              10.1       SRR11004556
478429    478711    3               672              3.5        SRR11004556
234132    234139    2               673              1.0        SRR12056053
234140    234354    3               673              17.1       SRR12056053
245214    245559    2               673              0.4        SRR12056053
355514    355589    3               673              0.7        SRR12056053
368083    368156    3               673              0.8        SRR12056053
436055    436170    3               673              5.6        SRR12056053
472027    472736    3               673              4.1        SRR12056053
486802    487238    2               673              4.7        SRR12056053
487239    487351    3               673              3.4        SRR12056053
487352    487608    2               673              6.1        SRR12056053
533452    533606    2               673              1.7        SRR12056053
671970    672220    3               673              4.3        SRR12056053
701875    703280    3               673              13.7       SRR12056053
711101    711559    3               673              1.3        SRR12056053
719482    719618    3               673              2.3        SRR12056053
723871    725117    3               673              2.1        SRR12056053
812458    812601    3               673              2.1        SRR12056053
825954    827041    2               673              0.6        SRR12056053
853527    854399    3               673              8.5        SRR12056053
867614    867820    2               673              0.2        SRR12056053
886883    887487    2               673              1.7        SRR12056053
892387    892449    3               673              1.3        SRR12056053
892539    892754    3               673              7.6        SRR12056053
894012    894458    3               673              1.5        SRR12056053
922590    922646    3               673              1.7        SRR12056053
932827    933159    2               673              3.8        SRR12056053
385111    385133    3               676              7.1        SRR12056174
750142    750699    1               676              1.1        SRR12056174
923826    924826    1               699              1.3        SRR12762903
225310    225318    3               708              0.8        SRR13674887
225319    225899    2               708              2.1        SRR13674887
694373    694847    2               708              9.1        SRR13674887
225319    225490    2               709              14.9       SRR13674888
515533    515581    3               709              14.9       SRR13674888
694373    694847    2               709              9.1        SRR13674888
905879    906199    2               709              6.1        SRR13674888
7489      7521      3               710              0.3        SRR13674889
18505     19276     3               710              0.1        SRR13674889
37742     38334     3               710              2.7        SRR13674889
41174     41870     3               710              2.2        SRR13674889
101956    102577    3               710              6.1        SRR13674889
103153    103533    3               710              1.8        SRR13674889
138588    138731    3               710              0.7        SRR13674889
161190    162032    3               710              3.2        SRR13674889
171183    171817    3               710              3.2        SRR13674889
182194    182222    3               710              3.4        SRR13674889
212729    212807    3               710              1.6        SRR13674889
226134    226294    3               710              5.6        SRR13674889
228722    229641    2               710              3.2        SRR13674889
229642    229798    3               710              0.2        SRR13674889
256319    256545    3               710              1.3        SRR13674889
279067    279272    3               710              3.6        SRR13674889
298015    298049    3               710              0.1        SRR13674889
307405    307530    3               710              1.4        SRR13674889
308652    308877    3               710              4.7        SRR13674889
319020    319110    2               710              1.0        SRR13674889
329648    330537    3               710              0.5        SRR13674889
341497    341602    2               710              2.3        SRR13674889
341603    341930    3               710              8.0        SRR13674889
347799    348028    3               710              6.3        SRR13674889
379272    380115    3               710              6.8        SRR13674889
389744    390078    3               710              7.8        SRR13674889
405972    406320    2               710              4.0        SRR13674889
419799    420134    3               710              6.0        SRR13674889
428068    428366    2               710              5.6        SRR13674889
431088    431119    2               710              23.9       SRR13674889
437503    437562    3               710              5.4        SRR13674889
442317    442348    3               710              0.4        SRR13674889
477631    478366    2               710              0.5        SRR13674889
508341    508347    2               710              0.9        SRR13674889
530681    530793    3               710              0.1        SRR13674889
534133    534748    3               710              3.6        SRR13674889
536047    536156    3               710              6.3        SRR13674889
615702    616742    3               710              3.6        SRR13674889
626895    627085    3               710              0.8        SRR13674889
640804    641152    3               710              7.3        SRR13674889
645353    647384    2               710              4.5        SRR13674889
743010    743309    3               710              9.1        SRR13674889
743494    744374    3               710              6.1        SRR13674889
761364    761728    3               710              3.6        SRR13674889
792327    792987    2               710              8.0        SRR13674889
794532    795104    3               710              1.9        SRR13674889
807390    807473    3               710              1.4        SRR13674889
808227    808335    3               710              0.2        SRR13674889
808336    810513    2               710              0.7        SRR13674889
818082    818596    3               710              0.5        SRR13674889
826182    830093    2               710              6.6        SRR13674889
841859    842478    2               710              2.3        SRR13674889
889932    890192    3               710              0.4        SRR13674889
893625    893935    3               710              0.6        SRR13674889
897255    898118    3               710              0.8        SRR13674889
899666    900535    3               710              0.8        SRR13674889
907947    908809    3               710              2.9        SRR13674889
918040    918798    2               710              3.4        SRR13674889
926435    928185    3               710              0.4        SRR13674889
934336    934402    3               710              0.2        SRR13674889
225319    225899    2               711              2.1        SRR13674890
694373    694847    2               711              9.1        SRR13674890
225319    225899    2               712              2.1        SRR13674891
694373    694847    2               712              9.1        SRR13674891
484513    485352    1               713              0.1        SRR14491919
13741     14164     3               714              0.1        SRR14571941
14165     14283     1               714              3.0        SRR14571941
62671     64121     1               714              4.7        SRR14571941
71639     71766     3               714              4.5        SRR14571941
219754    220022    3               714              3.9        SRR14571941
242183    242585    1               714              1.7        SRR14571941
247243    247292    3               714              1.0        SRR14571941
305492    305522    3               714              23.1       SRR14571941
308530    308632    3               714              0.1        SRR14571941
333201    333221    1               714              4.3        SRR14571941
333222    333224    3               714              2.3        SRR14571941
478429    478711    3               714              3.4        SRR14571941
560152    560572    3               714              2.5        SRR14571941
716606    716657    3               714              0.8        SRR14571941
769549    770001    3               714              4.5        SRR14571941
897674    897843    1               714              8.2        SRR14571941
478429    478711    3               715              3.5        SRR16631590
300079    300377    3               716              13.4       SRR16631687
478429    478711    3               716              3.5        SRR16631687
700869    701036    3               716              6.4        SRR16631687
225207    225378    1               727              8.2        SRR19995414
484513    485352    1               733              0.1        SRR19995422
905367    905628    3               733              1.2        SRR19995422
484513    485352    1               734              0.2        SRR20027742
840956    841774    1               734              0.0        SRR20027742
225221    225350    1               735              4.4        SRR20313630
225469    225544    1               735              3.6        SRR20313630
484513    485352    1               735              0.1        SRR20313630
346739    347106    3               737              0.0        SRR21745898
923826    924826    1               739              1.3        SRR2820294
484513    485352    1               745              0.1        SRR4938469
750142    750699    1               745              0.1        SRR4938469
484513    485352    1               746              0.1        SRR4938470
225221    225350    1               747              4.4        SRR4938471
225469    225544    1               747              3.6        SRR4938471
484513    485352    1               747              0.1        SRR4938471
13741     14164     3               750              0.1        SRR4938474
14165     14283     1               750              3.0        SRR4938474
62671     64121     1               750              4.7        SRR4938474
71639     71766     3               750              4.5        SRR4938474
219767    220350    1               750              2.9        SRR4938474
300464    301333    1               750              0.4        SRR4938474
305492    305522    3               750              23.1       SRR4938474
308530    308632    3               750              0.1        SRR4938474
333201    333221    1               750              4.3        SRR4938474
333222    333224    3               750              2.3        SRR4938474
